,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
11306,크리에잇쿠키,제과제빵떡케익,제과점,제과점업,명동,37.56840963,126.9782375,크리에잇쿠키 제과제빵떡케익 제과점 제과점업,명동%20크리에잇쿠키,https://m.place.naver.com/restaurant/1461508698,4.33,3,"[<span class=""WoYOw"">믿을 수 있는 좋은 커피를 만드는 곳! COFFEE ONLY</span>]"
11428,투썸플레이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56340378,126.9828675,투썸플레이스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20투썸플레이스,https://m.place.naver.com/restaurant/36948845,4.41,162,[]
11694,을지로전주옥,한식,한식/백반/한정식,한식 음식점업,명동,37.56691975,126.9893851,을지로전주옥 한식 한식 백반 한정식 한식 음식점업,명동%20을지로전주옥,https://m.place.naver.com/restaurant/19347950,4.38,64,"[<span class=""WoYOw"">안녕하세요 투썸플레이스 서울시청점입니다 네이버오더 가능합니다 일부 홀케익은 판매가와 다를 수 있으며, 재고부족시 자동취소됨을 알려드립니다. 홀케이크주문시 픽업시간을 상세히 기재해주세요. 픽업(예약) 시간이 없을경우 자동취소됨을 알려드립니다. ****네이버오더 결제시, 투썸하트 적립은 불가하며, 취소 후 매장 현장결제가 불가합니다. 신중한 선택 및 결제 부탁드립니다. ****</span>]"
11944,스위트룸카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56220675,126.9840723,스위트룸카페 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스위트룸카페,https://m.place.naver.com/restaurant/1277127608,4.43,351,"[<span class=""WoYOw"">을지로 골목에 위치한 한식집으로 여러가지 메뉴가 있어 주변 직장인들 점심식사로 많이 찾는 곳이다. 당면과 야채, 고기를 넣고 졸여 먹는 불갈비찜이 가장 인기. 고기를 먹고 남은 양념에 밥을 비벼먹기도 한다.</span>]"
11958,에딕티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56300625,126.9837898,에딕티 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20에딕티,https://m.place.naver.com/restaurant/1355294819,4.34,6,"[<span class=""WoYOw"">주차장은 없습니다 감사합니다</span>]"
12107,나,양식,기타전문서양음식점,서양식 음식점업,명동,37.56629791,126.9799417,나 양식 기타전문서양음식점 서양식 음식점업,명동%20나,https://m.place.naver.com/restaurant/11545872,4.61,141,"[<span class=""WoYOw"">항상 신선한 과일, 우유만 사용한 본점이 호주 브리즈번&amp;골드 코스트에 위치한 밀크티 전문점 입니다.</span>]"
12378,시청광장돈까스,양식,돈가스전문점,서양식 음식점업,명동,37.56584618,126.9787593,시청광장돈까스 양식 돈가스전문점 서양식 음식점업,명동%20시청광장돈까스,https://m.place.naver.com/restaurant/1690693054,4.32,25,"[<span class=""WoYOw"">나사랑은 비만 및 체형치료를 전문으로 하는 다이어트 클리닉입니다. 2002년 병원이 개원한 이후로 비만, 국소비만, 폭식증 등의 문제를 치료하면서 쌓은 노하우와 맨파워로 여러분의 고민을 해결할 수 있는 최선의 방법을 제시해 드리겠습니다.  나사랑클리
닉의 건강한 아름다움이 대한민국 모두가 원하는 진정한 아름다움으로 통하는 그날까지 최선을 다할 것을 약속드립니다.  1:1 카톡상담 https://pf.kakao.com/_ZfGcE ※접수마감※ 평   일:  pm 6시40분 토요
일:  pm 1시40분 ※점심시간※ pm 1시~ pm 2시 (토요일은 점심시간없음)</span>]"
12467,이삭토스트,패스트푸드,토스트전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",명동,37.56300254,126.9854537,"이삭토스트 패스트푸드 토스트전문 피자, 햄버거, 샌드위치 및 유사 음식점업",명동%20이삭토스트,https://m.place.naver.com/restaurant/1549210088,4.16,9,[]
12552,뉴욕상하이컨설팅그룹,중식,중국음식/중국집,중식 음식점업,명동,37.56761415,126.9884022,뉴욕상하이컨설팅그룹 중식 중국음식 중국집 중식 음식점업,명동%20뉴욕상하이컨설팅그룹,https://m.place.naver.com/restaurant/1610144652,4.38,53,"[<span class=""WoYOw"">이삭토스트 명동성당점            </span>]"
12752,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56686688,126.9832279,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077,null,null,null
12881,카페드파리,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56203961,126.9855913,카페드파리 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페드파리,https://m.place.naver.com/restaurant/38251688,4.46,27,"[<span class=""WoYOw"">주차불가능</span>]"
